행정구역(동읍면)별,항목,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06
행정구역(동읍면)별,항목,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
서초구,총인구수 (명),431360,15168,21448,22329,23594,25973,30915,30909,37064,36909,42118,33070,29306,26804,19128,15445,10408,6027,2824,1311,417,193
서초구,남자인구수 (명),206478,7807,11059,11432,11953,12827,14691,14136,17069,17045,20405,16419,13989,12433,8725,7214,5140,2648,989,348,101,48
서초구,여자인구수 (명),224882,7361,10389,10897,11641,13146,16224,16773,19995,19864,21713,16651,15317,14371,10403,8231,5268,3379,1835,963,316,145
강남구,총인구수 (명),542498,15780,23143,27523,32450,34686,41763,40232,46339,45716,53660,42945,36557,32826,24111,19065,12602,7107,3636,1606,496,255
강남구,남자인구수 (명),259645,8075,12021,14370,16969,16988,19794,18533,21044,20809,25623,21567,17839,15062,10967,9030,6125,3123,1158,383,116,49
강남구,여자인구수 (명),282853,7705,11122,13153,15481,17698,21969,21699,25295,24907,28037,21378,18718,17764,13144,10035,6477,3984,2478,1223,380,206
송파구,총인구수 (명),679247,25551,29220,28941,33905,42744,54123,54940,61272,53007,58311,52798,52756,47106,31861,22446,14822,8572,4346,1762,498,266
송파구,남자인구수 (명),329200,13336,14979,14807,17388,21108,25744,26248,29473,25723,28208,25680,25118,22302,15518,11085,7087,3483,1315,418,111,69
송파구,여자인구수 (명),350047,12215,14241,14134,16517,21636,28379,28692,31799,27284,30103,27118,27638,24804,16343,11361,7735,5089,3031,1344,387,197
강동구,총인구수 (명),424235,14068,16882,17303,20820,26328,31475,29761,35666,32039,36043,34170,36267,32864,22391,16162,10899,6182,3033,1312,353,217
강동구,남자인구수 (명),209746,7228,8854,9156,10963,13446,15767,14945,17867,16064,17989,16856,17466,15598,10786,7957,5142,2403,846,280,78,55
강동구,여자인구수 (명),214489,6840,8028,8147,9857,12882,15708,14816,17799,15975,18054,17314,18801,17266,11605,8205,5757,3779,2187,1032,275,162
